,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
535,AAAD,14.65681279,-0.681545383,0.584731095,-1.165570617,0.243788094,0.684982995
536,AAAD,9.070753427,0.62720455,0.835852119,0.750377412,0.453027431,0.844002471
537,AAAD,107.5219815,0.137815034,0.443642938,0.310644037,0.756071245,0.967516188
538,SR140,7.887571242,0.787539194,0.379170121,2.077007522,0.037800865,0.322676517
539,SR140,24.9144675,0.133915146,0.339907979,0.393974706,0.693599714,0.94782384
540,SR140,70.76367617,-0.025829188,0.197748699,-0.130616221,0.89607891,0.989245566
541,WHRN,418.0424601,0.201446676,0.113367301,1.776938091,0.075578426,0.43663399
542,WHRN,70.36499323,-0.498093833,0.264871869,-1.88050862,0.060038793,0.397241716
543,STK16,83.73052118,0.079665318,0.131320709,0.60664703,0.544085182,0.886121158
544,PKHF2,56.84247228,0.34132269,0.220640973,1.546959685,0.121872967,0.525614032
545,IDHP,49.79221866,0.168238679,0.393651328,0.427379935,0.66910262,0.93797198
546,IDHP,1092.487257,-0.136708371,0.14940387,-0.915025636,0.360178172,0.782581734
547,APEX1,39.57304629,-0.148719928,0.237233079,-0.626893722,0.530728903,0.882032512
548,ADAS,65.65181953,0.784319809,0.367410137,2.134725559,0.032783434,0.304061395
549,ADAS,26.06132916,-2.426818206,1.158780984,-2.094285494,0.036234556,0.317066721
550,RTN4,1216.594405,0.091585089,0.076068399,1.203983386,0.228596,0.667657111
551,RAB3,135.2012328,0.048632475,0.147970831,0.328662581,0.742410741,0.963874164
552,HS12A,193.8279226,-0.477267526,0.367102978,-1.300091677,0.19356955,0.629358637
553,HS12A,386.6701901,-0.086252884,1.032970855,-0.083499824,0.933454118,0.995498338
554,MTRAA,174.6408859,0.23025941,0.145950128,1.577658159,0.114644164,0.511703153
555,CSPP1,132.1104689,-0.380138457,0.38774976,-0.980370578,0.326903227,0.75855263
